trial_id,learning_rate,gamma,batch_size,memory_size,target_update,eps_start,eps_end,eps_decay,initial_exploration,avg_score,final_scores,total_episodes,max_episodes,early_stopped,stop_reason,device_used,success,seed
37,0.0022734638755666464,0.9119571882527909,128,50783,1000,0.9075425092246171,0.014475240130063675,0.9916977866192905,773,27.4,"[22, 92, 10, 19, 13]",200,200,False,completed,cuda,True,47112
51,0.006049034281357732,0.9169938299649887,16,61467,500,0.9783243395618024,0.051996068597894705,0.9907155859638127,1515,14.8,"[10, 13, 10, 16, 10]",200,200,False,completed,cuda,True,72540
55,0.00011587661310068823,0.9085682309187768,64,44401,100,0.9400390005621778,0.03279893077128472,0.990897774330597,1809,9.7,"[8, 9, 10, 9, 10]",200,200,False,completed,cuda,True,76640
45,0.0002023915463617833,0.9942501388399928,128,83806,1000,0.9910523419701479,0.07086651949416642,0.9901113254257706,834,10.0,"[12, 9, 11, 11, 9]",200,200,False,completed,cuda,True,70624
52,0.005637134356521318,0.9600431141865587,32,35778,1000,0.9908143006737955,0.025129367343274343,0.9915799745783739,1397,11.9,"[10, 10, 10, 10, 9]",200,200,False,completed,cuda,True,63748
53,0.00026976916651289576,0.9393689355405274,16,12972,1000,0.9647271222144661,0.09527077775871012,0.9976396605566041,1082,9.7,"[10, 9, 10, 10, 10]",200,200,False,completed,cuda,True,80372
58,0.0005861046260570495,0.9653228839176408,32,69971,1000,0.9044771332790145,0.04889712728194742,0.9944274523217047,1625,9.6,"[9, 8, 9, 8, 10]",200,200,False,completed,cuda,True,68112
46,0.0008217637091276801,0.958647565735791,64,36402,500,0.9028939876573504,0.07897829870063465,0.9953171451391185,1552,10.5,"[12, 9, 10, 11, 9]",200,200,False,completed,cuda,True,71620
62,0.0006241784817927082,0.9578131429115128,16,40584,500,0.9230451179641047,0.07987265514451813,0.9901618606239223,1626,9.7,"[9, 9, 10, 10, 11]",200,200,False,completed,cuda,True,73748
60,0.0007957893213150984,0.9273478203688241,32,63755,100,0.9275608678718017,0.09963115927083059,0.9933791512175233,1292,10.3,"[12, 9, 11, 9, 9]",200,200,False,completed,cuda,True,81640
43,0.0025251272022864843,0.9615209096552776,16,91298,500,0.9161939699796463,0.054713106449658565,0.9967659713789339,881,82.9,"[87, 68, 10, 184, 124]",200,200,False,completed,cuda,True,68808
54,0.00047854206879380896,0.940464405019179,32,89280,500,0.9840245034362595,0.06371987413453449,0.9985840266523375,1341,12.0,"[11, 21, 10, 12, 10]",200,200,False,completed,cuda,True,79492
16,0.0024471219748963984,0.9486039958628075,32,40565,500,0.9107592949377098,0.08111555727960255,0.9981032739466972,639,177.2,"[227, 151, 165, 157, 197]",200,200,False,completed,cuda,True,43460
12,0.00026607293991985853,0.9175795239435396,128,17842,500,0.933513582986207,0.08849451880299311,0.9974495343008454,1992,64.6,"[61, 75, 74, 103, 61]",200,200,False,completed,cuda,True,39208
61,0.00017241232538745829,0.9901835420922265,64,57865,100,0.9357447140709132,0.03101742209184405,0.9989970034552721,1299,10.3,"[13, 12, 10, 9, 10]",200,200,False,completed,cuda,True,86624
64,0.0013826082607866518,0.9895521422181683,64,79886,1000,0.9112047570882617,0.07912277036556417,0.9984246902211227,984,9.8,"[11, 8, 10, 10, 12]",200,200,False,completed,cuda,True,74112
